edge_id,osm_way_id,u,v,name,ref,highway,length_m,maxspeed_raw,resolved_speed_kph,speed_source,oneway,lanes,access,bridge,tunnel,surface,junction,service,all_tags_json
1,,1,2,Custis Memorial Parkway,I 66,motorway,34.012,55 mph,88.514,maxspeed,yes,2,,,,asphalt,,,"{""hgv"": ""no"", ""highway"": ""motorway"", ""hov"": ""yes"", ""hov:minimum"": ""3"", ""lanes"": ""2"", ""maxheight"": ""default"", ""maxspeed"": ""55 mph"", ""maxspeed:advisory"": ""30 mph"", ""name"": ""Custis Memorial Parkway"", ""oneway"": ""yes"", ""ref"": ""I 66"", ""start_date"": ""1983"", ""surface"": ""asphalt"", ""toll"": ""no"", ""toll:bus"": ""no"", ""toll:conditional"": ""yes @ (Mo-Fr 15:00-19:00)"", ""toll:hov"": ""no"", ""toll:motorcycle"": ""no""}"
2,,2,3,Custis Memorial Parkway,I 66,motorway,24.795,55 mph,88.514,maxspeed,yes,2,,,,asphalt,,,"{""hgv"": ""no"", ""highway"": ""motorway"", ""hov"": ""yes"", ""hov:minimum"": ""3"", ""lanes"": ""2"", ""maxheight"": ""default"", ""maxspeed"": ""55 mph"", ""maxspeed:advisory"": ""30 mph"", ""name"": ""Custis Memorial Parkway"", ""oneway"": ""yes"", ""ref"": ""I 66"", ""start_date"": ""1983"", ""surface"": ""asphalt"", ""toll"": ""no"", ""toll:bus"": ""no"", ""toll:conditional"": ""yes @ (Mo-Fr 15:00-19:00)"", ""toll:hov"": ""no"", ""toll:motorcycle"": ""no""}"
3,,3,4,Custis Memorial Parkway,I 66,motorway,24.977,55 mph,88.514,maxspeed,yes,2,,,,asphalt,,,"{""hgv"": ""no"", ""highway"": ""motorway"", ""hov"": ""yes"", ""hov:minimum"": ""3"", ""lanes"": ""2"", ""maxheight"": ""default"", ""maxspeed"": ""55 mph"", ""maxspeed:advisory"": ""30 mph"", ""name"": ""Custis Memorial Parkway"", ""oneway"": ""yes"", ""ref"": ""I 66"", ""start_date"": ""1983"", ""surface"": ""asphalt"", ""toll"": ""no"", ""toll:bus"": ""no"", ""toll:conditional"": ""yes @ (Mo-Fr 15:00-19:00)"", ""toll:hov"": ""no"", ""toll:motorcycle"": ""no""}"
4,,4,5,Custis Memorial Parkway,I 66,motorway,24.561,55 mph,88.514,maxspeed,yes,2,,,,asphalt,,,"{""hgv"": ""no"", ""highway"": ""motorway"", ""hov"": ""yes"", ""hov:minimum"": ""3"", ""lanes"": ""2"", ""maxheight"": ""default"", ""maxspeed"": ""55 mph"", ""maxspeed:advisory"": ""30 mph"", ""name"": ""Custis Memorial Parkway"", ""oneway"": ""yes"", ""ref"": ""I 66"", ""start_date"": ""1983"", ""surface"": ""asphalt"", ""toll"": ""no"", ""toll:bus"": ""no"", ""toll:conditional"": ""yes @ (Mo-Fr 15:00-19:00)"", ""toll:hov"": ""no"", ""toll:motorcycle"": ""no""}"
5,,5,6,Custis Memorial Parkway,I 66,motorway,24.515,55 mph,88.514,maxspeed,yes,2,,,,asphalt,,,"{""hgv"": ""no"", ""highway"": ""motorway"", ""hov"": ""yes"", ""hov:minimum"": ""3"", ""lanes"": ""2"", ""maxheight"": ""default"", ""maxspeed"": ""55 mph"", ""maxspeed:advisory"": ""30 mph"", ""name"": ""Custis Memorial Parkway"", ""oneway"": ""yes"", ""ref"": ""I 66"", ""start_date"": ""1983"", ""surface"": ""asphalt"", ""toll"": ""no"", ""toll:bus"": ""no"", ""toll:conditional"": ""yes @ (Mo-Fr 15:00-19:00)"", ""toll:hov"": ""no"", ""toll:motorcycle"": ""no""}"
6,,6,7,Custis Memorial Parkway,I 66,motorway,23.097,55 mph,88.514,maxspeed,yes,2,,,,asphalt,,,"{""hgv"": ""no"", ""highway"": ""motorway"", ""hov"": ""yes"", ""hov:minimum"": ""3"", ""lanes"": ""2"", ""maxheight"": ""default"", ""maxspeed"": ""55 mph"", ""maxspeed:advisory"": ""30 mph"", ""name"": ""Custis Memorial Parkway"", ""oneway"": ""yes"", ""ref"": ""I 66"", ""start_date"": ""1983"", ""surface"": ""asphalt"", ""toll"": ""no"", ""toll:bus"": ""no"", ""toll:conditional"": ""yes @ (Mo-Fr 15:00-19:00)"", ""toll:hov"": ""no"", ""toll:motorcycle"": ""no""}"
7,,7,8,Custis Memorial Parkway,I 66,motorway,24.978,55 mph,88.514,maxspeed,yes,2,,,,asphalt,,,"{""hgv"": ""no"", ""highway"": ""motorway"", ""hov"": ""yes"", ""hov:minimum"": ""3"", ""lanes"": ""2"", ""maxheight"": ""default"", ""maxspeed"": ""55 mph"", ""maxspeed:advisory"": ""30 mph"", ""name"": ""Custis Memorial Parkway"", ""oneway"": ""yes"", ""ref"": ""I 66"", ""start_date"": ""1983"", ""surface"": ""asphalt"", ""toll"": ""no"", ""toll:bus"": ""no"", ""toll:conditional"": ""yes @ (Mo-Fr 15:00-19:00)"", ""toll:hov"": ""no"", ""toll:motorcycle"": ""no""}"
8,,8,9,Custis Memorial Parkway,I 66,motorway,24.217,55 mph,88.514,maxspeed,yes,2,,,,asphalt,,,"{""hgv"": ""no"", ""highway"": ""motorway"", ""hov"": ""yes"", ""hov:minimum"": ""3"", ""lanes"": ""2"", ""maxheight"": ""default"", ""maxspeed"": ""55 mph"", ""maxspeed:advisory"": ""30 mph"", ""name"": ""Custis Memorial Parkway"", ""oneway"": ""yes"", ""ref"": ""I 66"", ""start_date"": ""1983"", ""surface"": ""asphalt"", ""toll"": ""no"", ""toll:bus"": ""no"", ""toll:conditional"": ""yes @ (Mo-Fr 15:00-19:00)"", ""toll:hov"": ""no"", ""toll:motorcycle"": ""no""}"
9,,9,10,Custis Memorial Parkway,I 66,motorway,24.783,55 mph,88.514,maxspeed,yes,2,,,,asphalt,,,"{""hgv"": ""no"", ""highway"": ""motorway"", ""hov"": ""yes"", ""hov:minimum"": ""3"", ""lanes"": ""2"", ""maxheight"": ""default"", ""maxspeed"": ""55 mph"", ""maxspeed:advisory"": ""30 mph"", ""name"": ""Custis Memorial Parkway"", ""oneway"": ""yes"", ""ref"": ""I 66"", ""start_date"": ""1983"", ""surface"": ""asphalt"", ""toll"": ""no"", ""toll:bus"": ""no"", ""toll:conditional"": ""yes @ (Mo-Fr 15:00-19:00)"", ""toll:hov"": ""no"", ""toll:motorcycle"": ""no""}"
10,,10,11,Custis Memorial Parkway,I 66,motorway,23.236,55 mph,88.514,maxspeed,yes,2,,,,asphalt,,,"{""hgv"": ""no"", ""highway"": ""motorway"", ""hov"": ""yes"", ""hov:minimum"": ""3"", ""lanes"": ""2"", ""maxheight"": ""default"", ""maxspeed"": ""55 mph"", ""maxspeed:advisory"": ""30 mph"", ""name"": ""Custis Memorial Parkway"", ""oneway"": ""yes"", ""ref"": ""I 66"", ""start_date"": ""1983"", ""surface"": ""asphalt"", ""toll"": ""no"", ""toll:bus"": ""no"", ""toll:conditional"": ""yes @ (Mo-Fr 15:00-19:00)"", ""toll:hov"": ""no"", ""toll:motorcycle"": ""no""}"
